
A T O M   T Y P E S

IDX	TYPE	RING
 6730    425.17946    425.18047
 6740    425.16929    425.17031
 6750    425.15902    425.16005
 6760    425.14863    425.14968
 6770    425.13803    425.13910
 6780    425.12723    425.12832
 6790    425.11629    425.11739
 6800    425.10525    425.10636
 6810    425.09407    425.09520
 6820    425.08277    425.08391
 6830    425.07129    425.07244
 6840    425.05961    425.06078
 6850    425.04771    425.04891
 6860    425.03563    425.03684
 6870    425.02339    425.02462
 6880    425.01091    425.01218
 6890    424.99822    424.99950
 6900    424.98549    424.98674
 6910    424.97475    424.97565
 6920    424.96609    424.96695
 6930    424.95744    424.95832
 6940    424.94870    424.94958
 6950    424.93986    424.94075
 6960    424.93092    424.93181
 6970    424.92187    424.92279
 6980    424.91271    424.91363
 6990    424.90342    424.90436
 7000    424.89400    424.89495
 7010    424.88447    424.88543
 7020    424.87478    424.87576
 7030    424.86491    424.86591
 7040    424.85488    424.85589
 7050    424.84471    424.84573
 7060    424.83435    424.83539
 7070    424.82380    424.82486
 7080    424.81310    424.81418
 7090    424.80223    424.80332
 7100    424.79131    424.79241
 7110    424.78023    424.78135
 7120    424.76902    424.77015
 7130    424.75758    424.75873
 7140    424.74588    424.74707
 7150    424.73388    424.73510
 7160    424.72158    424.72282
 7170    424.70938    424.71059
 7180    424.69867    424.69956
 7190    424.69038    424.69119
 7200    424.68221    424.68304
 7210    424.67394    424.67477
 7220    424.66555    424.66639
 7230    424.65709    424.65794
 7240    424.64853    424.64940
 7250    424.63985    424.64072
 7260    424.63107    424.63195
 7270    424.62217    424.62307
 7280    424.61313    424.61404
 7290    424.60396    424.60488
 7300    424.59468    424.59561
 7310    424.58525    424.58620
 7320    424.57568    424.57665
 7330    424.56602    424.56699
 7340    424.55622    424.55721
 7350    424.54626    424.54727
 7360    424.53610    424.53713
 7370    424.52572    424.52677
 7380    424.51513    424.51620
 7390    424.50437    424.50546
 7400    424.49350    424.49459
 7410    424.48250    424.48361
 7420    424.47146    424.47257
 7430    424.46018    424.46132
 7440    424.44860    424.44977
 7450    424.43705    424.43815
 7460    424.42792    424.42870
 7470    424.42029    424.42105
 7480    424.41261    424.41338
 7490    424.40483    424.40561
 7500    424.39695    424.39774
 7510    424.38896    424.38977
 7520    424.38090    424.38172
 7530    424.37274    424.37356
 7540    424.36449    424.36532
 7550    424.35617    424.35700
 7560    424.34773    424.34858
 7570    424.33916    424.34002
 7580    424.33044    424.33131
 7590    424.32161    424.32250
 7600    424.31265    424.31355
 7610    424.30355    424.30447
 7620    424.29439    424.29531
 7630    424.28506    424.28600
 7640    424.27557    424.27652
 7650    424.26593    424.26690
 7660    424.25615    424.25712
 7670    424.24636    424.24734
 7680    424.23647    424.23746
 7690    424.22638    424.22740
 7700    424.21618    424.21721
 7710    424.20580    424.20686
 7720    424.19521    424.19628
 7730    424.18437    424.18547
 7740    424.17323    424.17436
 7750    424.16201    424.16307
 7760    424.15374    424.15444
 7770    424.14678    424.14748
 7780    424.13976    424.14047
 7790    424.13267    424.13338
 7800    424.12550    424.12622
 7810    424.11824    424.11897
 7820    424.11088    424.11163
 7830    424.10343    424.10418
 7840    424.09587    424.09663
 7850    424.08824    424.08901
 7860    424.08054    424.08131
 7870    424.07274    424.07353
 7880    424.06487    424.06567
 7890    424.05688    424.05769
 7900    424.04879    424.04961
 7910    424.04056    424.04139
 7920    424.03224    424.03308
 7930    424.02378    424.02463
 7940    424.01516    424.01603
 7950    424.00639    424.00727
 7960    423.99745    423.99835
 7970    423.98832    423.98924
 7980    423.97901    423.97995
 7990    423.96950    423.97046
 8000    423.95989    423.96086
 8010    423.95008    423.95108
 8020    423.94001    423.94103
 8030    423.92971    423.93075
 8040    423.91923    423.92027
 8050    423.91034    423.91105
 8060    423.90365    423.90431
 8070    423.89699    423.89766
 8080    423.89026    423.89093
 8090    423.88344    423.88412
 8100    423.87654    423.87723
 8110    423.86963    423.87033
 8120    423.86266    423.86336
 8130    423.85563    423.85633
 8140    423.84852    423.84924
 8150    423.84132    423.84205
 8160    423.83401    423.83474
 8170    423.82660    423.82734
 8180    423.81908    423.81984
 8190    423.81145    423.81222
 8200    423.80368    423.80446
 8210    423.79579    423.79658
 8220    423.78781    423.78861
 8230    423.77971    423.78053
 8240    423.77149    423.77232
 8250    423.76311    423.76396
 8260    423.75455    423.75542
 8270    423.74580    423.74669
 8280    423.73686    423.73776
 8290    423.72771    423.72863
 8300    423.71832    423.71927
 8310    423.70868    423.70966
 8320    423.69878    423.69978
 8330    423.68871    423.68969
 8340    423.68078    423.68142
 8350    423.67461    423.67523
 8360    423.66841    423.66903
 8370    423.66214    423.66277
 8380    423.65580    423.65644
 8390    423.64938    423.65003
 8400    423.64289    423.64354
 8410    423.63631    423.63697
 8420    423.62968    423.63035
 8430    423.62297    423.62364
 8440    423.61616    423.61684
 8450    423.60925    423.60994
 8460    423.60223    423.60294
 8470    423.59511    423.59583
 8480    423.58787    423.58860
 8490    423.58053    423.58126
 8500    423.57309    423.57384
 8510    423.56558    423.56634
 8520    423.55794    423.55871
 8530    423.55016    423.55094
 8540    423.54222    423.54302
 8550    423.53412    423.53494
 8560    423.52583    423.52667
 8570    423.51735    423.51821
 8580    423.50873    423.50960
 8590    423.49992    423.50082
 8600    423.49089    423.49180
 8610    423.48187    423.48272
 8620    423.47482    423.47544
 8630    423.46871    423.46932
 8640    423.46256    423.46318
 8650    423.45633    423.45696
 8660    423.45002    423.45066
 8670    423.44364    423.44428
 8680    423.43717    423.43782
 8690    423.43060    423.43127
 8700    423.42395    423.42462
 8710    423.41718    423.41786
 8720    423.41031    423.41100
 8730    423.40334    423.40404
 8740    423.39625    423.39696
 8750    423.38903    423.38975
 8760    423.38167    423.38241
 8770    423.37417    423.37492
 8780    423.36651    423.36728
 8790    423.35868    423.35947
 8800    423.35068    423.35149
 8810    423.34262    423.34342
 8820    423.33455    423.33536
 8830    423.32636    423.32718
 8840    423.31802    423.31887
 8850    423.30954    423.31039
 8860    423.30142    423.30215
 8870    423.29518    423.29577
 8880    423.28939    423.28997
 8890    423.28355    423.28414
 8900    423.27763    423.27822
 8910    423.27164    423.27224
 8920    423.26557    423.26618
 8930    423.25941    423.26003
 8940    423.25317    423.25380
 8950    423.24684    423.24748
 8960    423.24041    423.24106
 8970    423.23388    423.23454
 8980    423.22725    423.22792
 8990    423.22050    423.22118
 9000    423.21363    423.21433
 9010    423.20665    423.20736
 9020    423.19954    423.20025
 9030    423.19227    423.19301
 9040    423.18486    423.18561
 9050    423.17728    423.17805
 9060    423.16954    423.17032
 9070    423.16161    423.16241
 9080    423.15348    423.15430
 9090    423.14513    423.14597
 9100    423.13693    423.13766
 9110    423.13113    423.13165
 9120    423.12589    423.12642
 9130    423.12061    423.12114
